X,Z,Count
9.0,9.0,43
9.0,10.0,95
8.0,8.0,66
7.0,6.0,87
8.0,9.0,143
6.0,4.0,148
7.0,7.0,154
7.0,8.0,39
5.0,2.0,239
6.0,5.0,108
4.0,3.0,251
4.0,1.0,56
5.0,3.0,92
4.0,0.0,117
6.0,6.0,65
4.0,2.0,148
1.0,2.0,1626
3.0,1.0,229
5.0,4.0,31
4.0,4.0,145
5.0,6.0,318
6.0,7.0,29
5.0,5.0,187
5.0,7.0,328
3.0,2.0,307
4.0,5.0,23
3.0,3.0,277
3.0,4.0,68
2.0,1.0,844
2.0,2.0,617
2.0,3.0,361
2.0,4.0,172
1.0,3.0,603
0.0,2.0,953
3.0,12.0,931
1.0,6.0,2294
3.0,13.0,204
5.0,17.0,66
4.0,17.0,26
5.0,19.0,97
4.0,16.0,20
4.0,12.0,135
5.0,18.0,219
-10.0,19.0,28
-9.0,19.0,23
-1.0,5.0,1089
-4.0,11.0,217
-3.0,10.0,233
-5.0,12.0,16
-4.0,10.0,138
-5.0,11.0,269
6.0,19.0,87
-4.0,9.0,270
-2.0,9.0,119
-2.0,8.0,398
-8.0,16.0,11
-1.0,9.0,107
-9.0,17.0,19
-3.0,9.0,236
-1.0,8.0,329
-1.0,7.0,587
-2.0,7.0,367
-3.0,8.0,488
-3.0,7.0,120
0.0,7.0,116
0.0,9.0,92
0.0,8.0,466
-1.0,6.0,154
0.0,5.0,685
-2.0,6.0,148
7.0,19.0,16
6.0,18.0,15
7.0,18.0,6
9.0,19.0,7
10.0,19.0,45
9.0,18.0,29
6.0,16.0,4
7.0,16.0,17
5.0,15.0,5
10.0,18.0,37
8.0,16.0,6
6.0,15.0,4
6.0,13.0,41
7.0,15.0,4
7.0,17.0,2
5.0,13.0,1
6.0,14.0,10
5.0,14.0,7
7.0,13.0,16
10.0,17.0,22
9.0,17.0,6
7.0,14.0,6
6.0,17.0,6
9.0,16.0,8
6.0,12.0,34
8.0,15.0,5
8.0,13.0,23
8.0,14.0,5
4.0,11.0,36
5.0,11.0,5
6.0,10.0,54
-1.0,4.0,488
6.0,11.0,8
5.0,12.0,1
0.0,4.0,792
7.0,12.0,7
-2.0,3.0,857
5.0,10.0,89
4.0,10.0,7
6.0,9.0,42
5.0,9.0,99
4.0,9.0,38
4.0,8.0,131
3.0,8.0,5
5.0,8.0,224
-1.0,3.0,513
1.0,4.0,402
0.0,3.0,492
-1.0,2.0,1107
-3.0,2.0,1038
-2.0,1.0,2214
-3.0,1.0,2153
-2.0,0.0,2972
-12.0,-3.0,5
-11.0,-3.0,1
-19.0,12.0,11
-10.0,-2.0,8
-13.0,-2.0,3
-12.0,6.0,2
-8.0,-3.0,422
-5.0,-2.0,539
8.0,-10.0,37
-9.0,-20.0,6
9.0,-11.0,15
10.0,-11.0,2
-7.0,-15.0,2
-8.0,-19.0,7
-8.0,-20.0,2
-5.0,-15.0,13
-5.0,-14.0,34
10.0,-20.0,8
-7.0,-14.0,54
-3.0,-19.0,18
-1.0,-20.0,25
-6.0,-13.0,3
-2.0,-13.0,8
0.0,-14.0,16
0.0,-13.0,22
10.0,-17.0,12
11.0,-18.0,11
14.0,-20.0,2
11.0,-16.0,2
15.0,-12.0,4
16.0,-10.0,5
17.0,-11.0,1
12.0,-4.0,4
18.0,-5.0,2
4.0,13.0,76
2.0,13.0,183
0.0,10.0,8
13.0,15.0,42
13.0,16.0,26
13.0,18.0,13
12.0,14.0,30
13.0,19.0,3
12.0,17.0,12
12.0,16.0,19
12.0,18.0,5
11.0,17.0,13
12.0,15.0,23
11.0,15.0,23
8.0,19.0,2
11.0,16.0,15
3.0,14.0,38
11.0,14.0,17
10.0,14.0,6
11.0,13.0,17
10.0,15.0,15
10.0,12.0,18
9.0,12.0,122
9.0,13.0,45
9.0,11.0,99
3.0,11.0,70
2.0,8.0,2
8.0,10.0,36
1.0,7.0,27
6.0,8.0,28
8.0,2.0,134
-13.0,16.0,3
-6.0,12.0,6
-14.0,17.0,8
-11.0,13.0,15
-12.0,13.0,25
-8.0,9.0,4
-2.0,10.0,9
-7.0,19.0,2
-10.0,12.0,33
-11.0,11.0,8
1.0,13.0,13
1.0,11.0,64
4.0,18.0,27
1.0,12.0,24
2.0,14.0,104
3.0,16.0,44
3.0,17.0,9
3.0,15.0,59
2.0,12.0,34
4.0,14.0,44
2.0,15.0,22
1.0,9.0,194
4.0,15.0,9
1.0,8.0,8
0.0,6.0,236
2.0,10.0,66
2.0,11.0,18
1.0,10.0,7
2.0,9.0,24
-6.0,-1.0,20
4.0,19.0,12
3.0,10.0,7
11.0,18.0,16
10.0,16.0,12
1.0,14.0,1
9.0,15.0,16
8.0,18.0,3
10.0,13.0,1
9.0,14.0,8
8.0,12.0,3
11.0,19.0,1
7.0,11.0,1
7.0,9.0,3
-8.0,-11.0,65
-20.0,-18.0,332
-18.0,-17.0,34
-5.0,-17.0,3
-20.0,-17.0,61
-19.0,-17.0,26
-15.0,-15.0,6
-17.0,-15.0,11
-16.0,-14.0,9
-12.0,-10.0,43
-15.0,-13.0,12
-18.0,-16.0,3
-14.0,-12.0,14
-20.0,-15.0,2
-19.0,-16.0,21
-19.0,-14.0,44
-11.0,-9.0,1077
-20.0,-14.0,18
-16.0,-13.0,13
-19.0,-12.0,10
-18.0,-13.0,21
-10.0,-8.0,1125
-11.0,-8.0,354
-16.0,-9.0,35
-17.0,-11.0,6
-3.0,-16.0,19
-1.0,-13.0,64
-2.0,-17.0,22
0.0,-16.0,7
1.0,-14.0,16
-9.0,-7.0,360
-9.0,-6.0,150
-11.0,-16.0,25
-19.0,-3.0,1
-13.0,9.0,21
-15.0,9.0,32
-13.0,8.0,29
-12.0,8.0,10
-19.0,19.0,6
-12.0,18.0,3
-11.0,10.0,19
-11.0,19.0,5
-9.0,18.0,5
-3.0,11.0,17
2.0,19.0,10
2.0,16.0,13
1.0,15.0,4
2.0,17.0,5
11.0,-17.0,7
15.0,-10.0,2
8.0,-20.0,12
12.0,-18.0,1
-1.0,-16.0,15
-2.0,-19.0,7
-2.0,-18.0,5
-1.0,-19.0,6
0.0,-20.0,7
0.0,-19.0,15
0.0,-18.0,11
1.0,-19.0,3
0.0,-17.0,10
1.0,-18.0,2
1.0,-17.0,5
1.0,-16.0,3
1.0,-15.0,10
2.0,-17.0,4
-2.0,-14.0,5
0.0,-15.0,4
2.0,-16.0,7
2.0,-15.0,8
1.0,-13.0,22
2.0,-14.0,17
-10.0,17.0,3
-6.0,19.0,1
-4.0,12.0,4
-3.0,19.0,20
-2.0,19.0,10
-1.0,16.0,2
-1.0,15.0,4
-3.0,18.0,14
-3.0,17.0,27
0.0,19.0,4
-2.0,18.0,1
0.0,11.0,3
-2.0,16.0,7
-8.0,17.0,3
-7.0,15.0,2
-7.0,14.0,16
-8.0,14.0,18
1.0,18.0,1
2.0,18.0,4
-7.0,13.0,3
3.0,19.0,1
1.0,17.0,1
1.0,16.0,1
12.0,19.0,1
18.0,0.0,2
9.0,-15.0,1
12.0,-8.0,6
12.0,-6.0,1
-5.0,-18.0,1
-18.0,-15.0,8
-13.0,-11.0,12
-17.0,-13.0,3
-17.0,-14.0,4
-17.0,-12.0,18
-20.0,-10.0,2
-18.0,-9.0,2
-16.0,-10.0,13
-13.0,-6.0,14
-14.0,-6.0,3
-11.0,-5.0,3
-3.0,-20.0,9
-2.0,-20.0,4
-20.0,16.0,4
-20.0,12.0,6
-20.0,4.0,2
-19.0,3.0,3
-19.0,11.0,8
-17.0,-2.0,3
-20.0,-3.0,1
-12.0,12.0,31
-12.0,19.0,2
-10.0,11.0,9
-7.0,9.0,1
-20.0,14.0,4
-19.0,13.0,2
-20.0,15.0,2
-16.0,9.0,5
-11.0,7.0,7
-19.0,10.0,12
-17.0,9.0,12
-18.0,9.0,6
-20.0,10.0,2
-14.0,8.0,3
-17.0,8.0,1
-15.0,8.0,5
-10.0,18.0,1
-8.0,8.0,3
-5.0,19.0,3
-10.0,6.0,1
-5.0,18.0,5
-2.0,12.0,3
-2.0,11.0,1
-2.0,15.0,4
14.0,-5.0,1
13.0,-5.0,3
13.0,-2.0,2
18.0,14.0,3
17.0,11.0,1
17.0,-16.0,3
14.0,-14.0,1
19.0,-11.0,1
12.0,-10.0,1
17.0,-6.0,1
16.0,4.0,3
-7.0,-17.0,1
-8.0,-17.0,2
-7.0,-16.0,2
-8.0,-18.0,3
-17.0,-16.0,2
-14.0,-13.0,2
-20.0,-12.0,4
-20.0,-16.0,2
-19.0,-15.0,3
-19.0,-13.0,7
-15.0,-12.0,2
-15.0,-11.0,4
-13.0,-10.0,2
-12.0,-9.0,3
-14.0,-11.0,2
-16.0,-12.0,3
-14.0,-10.0,7
-12.0,-8.0,1
-15.0,-10.0,2
-16.0,-11.0,6
-18.0,-12.0,7
-15.0,-9.0,6
-15.0,-7.0,2
-14.0,-7.0,1
-12.0,-6.0,1
-12.0,-5.0,6
-3.0,-18.0,8
-3.0,-17.0,12
-1.0,-18.0,2
-8.0,-5.0,285
-8.0,-4.0,310
-5.0,-4.0,76
-6.0,-5.0,90
-6.0,-4.0,93
-7.0,-4.0,37
-7.0,-5.0,14
-6.0,-3.0,77
-5.0,-3.0,126
-18.0,-7.0,2
-20.0,11.0,2
-20.0,7.0,1
-16.0,8.0,3
-19.0,9.0,1
-14.0,7.0,2
-13.0,7.0,1
-10.0,1.0,1
-4.0,15.0,1
-4.0,19.0,1
-2.0,17.0,1
3.0,9.0,2
15.0,2.0,1
10.0,-15.0,1
-13.0,-9.0,1
